INFO 2025-03-10 11:29:29,648 autoreload Watching for file changes with StatReloader
DEBUG 2025-03-10 11:29:29,649 autoreload Waiting for apps ready_event.
DEBUG 2025-03-10 11:29:29,856 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-03-10 11:29:29,862 autoreload Watching dir /Users/aruka/Desktop/ailaq_me/templates with glob **/*.
DEBUG 2025-03-10 11:29:29,862 autoreload Watching dir /Users/aruka/miniconda3/lib/python3.12/site-packages/rest_framework/templates with glob **/*.
DEBUG 2025-03-10 11:29:29,862 autoreload Watching dir /Users/aruka/miniconda3/lib/python3.12/site-packages/django_filters/templates with glob **/*.
DEBUG 2025-03-10 11:29:29,862 autoreload Watching dir /Users/aruka/miniconda3/lib/python3.12/site-packages/drf_spectacular/templates with glob **/*.
DEBUG 2025-03-10 11:29:29,863 autoreload Watching dir /Users/aruka/Desktop/ailaq_me/locale with glob **/*.mo.
DEBUG 2025-03-10 11:29:29,863 autoreload Watching dir /Users/aruka/miniconda3/lib/python3.12/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2025-03-10 11:29:29,863 autoreload Watching dir /Users/aruka/miniconda3/lib/python3.12/site-packages/rest_framework/authtoken/locale with glob **/*.mo.
DEBUG 2025-03-10 11:29:29,863 autoreload Watching dir /Users/aruka/miniconda3/lib/python3.12/site-packages/drf_spectacular/locale with glob **/*.mo.
DEBUG 2025-03-10 11:29:29,863 autoreload Watching dir /Users/aruka/miniconda3/lib/python3.12/site-packages/corsheaders/locale with glob **/*.mo.
DEBUG 2025-03-10 11:29:29,863 autoreload Watching dir /Users/aruka/Desktop/ailaq_me/ailaq/locale with glob **/*.mo.
DEBUG 2025-03-10 11:29:29,863 autoreload Watching dir /Users/aruka/miniconda3/lib/python3.12/site-packages/django_filters/locale with glob **/*.mo.
DEBUG 2025-03-10 11:29:29,937 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/telegram/_files/_basethumbedmedium.py first seen with mtime 1737433109.0475202
DEBUG 2025-03-10 11:29:29,937 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/django/db/models/constraints.py first seen with mtime 1741546736.826915
DEBUG 2025-03-10 11:29:29,937 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/telegram/_botname.py first seen with mtime 1737433109.0406775
DEBUG 2025-03-10 11:29:29,938 utils (0.005) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END,
                obj_description(c.oid, 'pg_class')
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
DEBUG 2025-03-10 11:29:29,938 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/telegram/_inline/inlinequeryresultcachedvoice.py first seen with mtime 1737433109.0510552
DEBUG 2025-03-10 11:29:29,939 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/telegram/_utils/repr.py first seen with mtime 1737433109.0563915
DEBUG 2025-03-10 11:29:29,939 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/anyio/_core/_synchronization.py first seen with mtime 1737433108.846089
DEBUG 2025-03-10 11:29:29,939 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/pytz/tzinfo.py first seen with mtime 1737622049.831988
DEBUG 2025-03-10 11:29:29,939 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/rest_framework/utils/formatting.py first seen with mtime 1737622563.8885124
DEBUG 2025-03-10 11:29:29,939 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/django/templatetags/l10n.py first seen with mtime 1741546736.8423417
DEBUG 2025-03-10 11:29:29,939 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/django/contrib/staticfiles/__init__.py first seen with mtime 1741546736.8088915
DEBUG 2025-03-10 11:29:29,940 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/rich/segment.py first seen with mtime 1738003396.1461267
DEBUG 2025-03-10 11:29:29,940 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/pygments/lexers/special.py first seen with mtime 1737952982.0059955
DEBUG 2025-03-10 11:29:29,940 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/httpx/_models.py first seen with mtime 1737433108.8925464
DEBUG 2025-03-10 11:29:29,940 autoreload File /Users/aruka/miniconda3/lib/python3.12/argparse.py first seen with mtime 1733935668.3210938
